,mean,std,micro
acc,0.8731,0.0255,0.8731
prec,0.8,0.0922,0.8004
recall,0.5514,0.0848,0.5544
f1,0.6496,0.0809,0.6551
auc_roc,0.8751,0.0303,0.8755
auc_pr,0.7541,0.0802,0.7605
