,mean,std,micro
acc,0.7,0.0214,0.7
prec,0.1944,0.0684,0.1969
recall,0.121,0.035,0.1234
f1,0.1485,0.0458,0.1517
auc_roc,0.46,0.0337,0.4615
auc_pr,0.2006,0.0441,0.1981
