,mean,std,micro
acc,0.7756,0.0464,0.7756
prec,0.4901,0.1007,0.4859
recall,0.5495,0.1364,0.5553
f1,0.5108,0.0965,0.5183
auc_roc,0.7898,0.0583,0.7909
auc_pr,0.6352,0.1168,0.643
