,mean,std,micro
acc,0.9586,0.0139,0.9586
prec,0.9714,0.0197,0.9707
recall,0.8332,0.0488,0.8346
f1,0.8965,0.0341,0.8975
auc_roc,0.9837,0.0086,0.9848
auc_pr,0.9636,0.0177,0.9657
