,mean,std,micro
acc,0.9611,0.0149,0.9611
prec,0.9691,0.0249,0.969
recall,0.847,0.0447,0.8481
f1,0.9036,0.0347,0.9045
auc_roc,0.9838,0.0086,0.9849
auc_pr,0.9643,0.0184,0.9665
