,mean,std,micro
acc,0.8168,0.022,0.8168
prec,0.9145,0.068,0.9292
recall,0.1661,0.0666,0.1704
f1,0.2762,0.1008,0.288
auc_roc,0.7372,0.0298,0.7364
auc_pr,0.5863,0.0662,0.5915
