,mean,std,micro
acc,0.7826,0.0307,0.7826
prec,0.0,0.0,0.0
recall,0.0,0.0,0.0
f1,0.0,0.0,0.0
auc_roc,0.4491,0.0338,0.4503
auc_pr,0.241,0.0493,0.2413
