,mean,std,micro
acc,0.9504,0.012,0.9504
prec,0.9793,0.0166,0.9793
recall,0.7879,0.0384,0.7888
f1,0.8729,0.028,0.8738
auc_roc,0.9417,0.0154,0.9427
auc_pr,0.9203,0.0233,0.9222
