,mean,std,micro
acc,0.7919,0.0279,0.7919
prec,0.9787,0.0331,0.9744
recall,0.0426,0.0192,0.0438
f1,0.0811,0.0352,0.0839
auc_roc,0.7474,0.0202,0.7478
auc_pr,0.5021,0.0458,0.5018
